Recall-macro,top1,top2
0.26242690058479534,0.421875,0.5
0.48464912280701755,0.5,0.578125
0.2989766081871345,0.46875,0.53125
0.3092105263157895,0.46875,0.546875
0.2814327485380117,0.4375,0.53125
0.30043859649122806,0.453125,0.53125
0.3340643274853801,0.53125,0.609375
0.3369883040935673,0.5,0.59375
0.30043859649122806,0.453125,0.515625
0.2953216374269006,0.453125,0.5
0.3318713450292398,0.5,0.578125
0.3128654970760234,0.484375,0.546875
0.5548245614035088,0.625,0.6875
0.3128654970760234,0.484375,0.53125
0.3654970760233918,0.578125,0.65625
0.3633040935672514,0.546875,0.625
0.2916666666666667,0.4375,0.5
0.34576023391812866,0.515625,0.578125
0.31432748538011696,0.46875,0.546875
0.3267543859649123,0.5,0.59375
0.2953216374269006,0.453125,0.5
0.3318713450292398,0.5,0.5625
0.3128654970760234,0.484375,0.53125
0.2989766081871345,0.46875,0.5625
0.2711988304093567,0.4375,0.53125
0.30628654970760233,0.5,0.5625
0.2989766081871345,0.46875,0.5625
0.3092105263157895,0.46875,0.515625
0.3230994152046784,0.484375,0.546875
0.3874269005847954,0.5625,0.609375
0.3442982456140351,0.53125,0.609375
0.2953216374269006,0.453125,0.5
0.3757309941520468,0.578125,0.640625
0.3428362573099415,0.546875,0.640625
0.3545321637426901,0.53125,0.609375
0.33260233918128657,0.546875,0.609375
0.2953216374269006,0.453125,0.53125
0.4780701754385965,0.515625,0.578125
0.31798245614035087,0.484375,0.546875
0.5058479532163743,0.546875,0.609375
0.34576023391812866,0.515625,0.59375
0.3055555555555556,0.453125,0.546875
0.4071637426900585,0.625,0.703125
0.3092105263157895,0.46875,0.546875
0.32821637426900585,0.484375,0.53125
0.3267543859649123,0.5,0.5625
0.37938596491228066,0.59375,0.640625
0.3216374269005848,0.5,0.546875
0.2675438596491228,0.421875,0.46875
0.3230994152046784,0.484375,0.53125
0.3442982456140351,0.53125,0.578125
0.3201754385964912,0.515625,0.609375
0.3340643274853801,0.53125,0.640625
0.3128654970760234,0.484375,0.546875
0.27777777777777773,0.421875,0.5
0.3742690058479532,0.59375,0.65625
0.3201754385964912,0.515625,0.59375
0.3230994152046784,0.484375,0.546875
0.3201754385964912,0.515625,0.609375
0.2573099415204678,0.421875,0.46875
0.3318713450292398,0.5,0.5625
0.3318713450292398,0.5,0.59375
0.3369883040935673,0.5,0.578125
0.3267543859649123,0.5,0.578125
0.34795321637426896,0.546875,0.640625
0.3318713450292398,0.5,0.578125
0.31652046783625737,0.5,0.546875
0.32821637426900585,0.484375,0.578125
0.3128654970760234,0.484375,0.5625
0.3238304093567252,0.53125,0.59375
0.3428362573099415,0.546875,0.625
0.33260233918128657,0.546875,0.609375
0.3055555555555556,0.453125,0.546875
0.3428362573099415,0.546875,0.59375
0.3355263157894737,0.515625,0.609375
0.31432748538011696,0.46875,0.546875
0.2953216374269006,0.453125,0.515625
0.2989766081871345,0.46875,0.53125
0.3128654970760234,0.484375,0.53125
0.3092105263157895,0.46875,0.515625
0.3216374269005848,0.5,0.5625
0.31432748538011696,0.46875,0.515625
0.30043859649122806,0.453125,0.515625
0.29020467836257313,0.453125,0.5
0.3545321637426901,0.53125,0.59375
0.3230994152046784,0.484375,0.53125
0.3230994152046784,0.484375,0.5625
0.3369883040935673,0.5,0.546875
0.3194444444444444,0.46875,0.5625
0.3318713450292398,0.5,0.578125
0.3267543859649123,0.5,0.578125
0.30628654970760233,0.5,0.578125
0.29020467836257313,0.453125,0.5625
0.24122807017543857,0.375,0.4375
0.32821637426900585,0.484375,0.5625
0.3216374269005848,0.5,0.546875
0.31067251461988304,0.453125,0.546875
0.3230994152046784,0.484375,0.53125
0.3318713450292398,0.5,0.546875
0.30628654970760233,0.5,0.59375
