has-discussion,num-framework,num-models,has-data,Has-pre-trained,num-repositories-depend-on,num-repositories-depend-on-them,num-topics,has-quickexample,has-newbutton,has-photo,num-code-line,num-contributor,followers,public_repos,Label
0,0,0,1,0,0,0,12,0,0,1,5530,1110,0,9,1
0,0,0,0,0,0,0,18,0,0,1,1333,6,3189,19,1
0,0,0,0,0,0,1,13,0,0,0,108,1,2814,1673,1
0,0,0,0,0,0,0,7,0,0,0,239,4,1967,15,2
0,1,0,0,0,27,0,9,1,0,1,95632,4,70,24,1
0,0,0,0,0,90,0,7,1,0,0,1895,180,1537,35,2
0,0,0,0,0,0,0,19,1,1,1,8411,3,252,21,1
0,0,0,0,0,1160,0,10,1,1,1,14560,9,0,4,1
0,1,0,1,0,35,130,20,1,1,0,64100,60,0,4,1
0,0,0,0,0,0,0,20,1,1,1,112049,390,0,558,2
1,0,0,1,1,43,141,17,1,1,1,206749,210,0,4664,1
1,1,0,0,0,73,2162,6,1,1,0,83858,270,0,324,2
1,2,0,1,0,18,6,10,1,1,1,109130,10,0,9,2
0,0,0,0,0,0,0,0,1,0,0,465,1,979,18,1
0,0,0,1,0,0,0,14,1,1,0,518,60,2049,56,2
1,2,2,1,0,47,0,9,1,1,0,961399,180,242,36,2
0,0,0,1,0,16,401,4,1,1,1,9358,21,155,17,2
0,0,0,0,0,24,0,20,1,1,0,7064,13,315,123,2
0,1,1,1,0,13,0,5,1,1,1,44312,6,768,7,2
1,0,1,1,0,64,85,20,1,1,1,51417,90,0,645,1
1,1,0,1,0,31,273,9,1,1,1,17983,150,0,15,1
0,0,0,0,0,0,0,9,1,0,1,181,27,1106,26,2
0,0,0,0,0,5,0,7,0,1,0,1508,28,768,7,2
0,0,0,0,0,0,0,5,0,1,0,349,9,134,92,2
0,0,0,0,0,0,0,20,0,1,1,1333,9,2418,60,2
0,0,0,0,0,0,0,20,0,0,0,54,8,0,25,2
1,0,0,0,0,2,0,10,1,1,1,951,180,0,28,2
0,0,0,0,0,0,0,9,1,1,0,594,120,1039,138,2
0,0,0,0,0,0,0,9,0,1,0,3386,16,614,102,2
0,0,0,0,0,0,0,7,0,1,1,330,2,975,102,1
0,0,0,0,0,0,0,0,1,1,1,404,60,1384,18,2
0,0,0,0,0,0,0,11,1,0,0,203,10,113,17,2
0,0,0,0,0,0,0,6,1,0,0,250,5,0,14,2
0,0,0,0,0,0,0,7,1,1,1,923,150,2394,64,2
0,0,0,0,0,0,0,5,1,0,1,885,6,4228,254,2
0,0,0,0,0,0,0,19,1,1,1,527,150,0,16,2
1,0,0,0,0,0,0,20,0,1,1,724,90,358,10,2
0,0,0,0,0,0,0,7,1,1,1,955,90,200,6,2
0,1,0,0,0,0,0,4,0,1,0,493,15,502,509,2
0,0,0,0,0,12,0,7,0,0,1,548668,4,0,3206,2
0,1,1,1,1,0,0,7,1,0,1,28977,5,0,10,1
0,0,0,0,0,0,0,11,1,1,1,8276,7,0,185,1
1,1,1,0,0,106,0,11,1,1,1,12666,6,0,23,1
0,0,0,0,0,0,0,20,1,1,1,298,1,609,19,1
0,0,0,0,0,30,0,11,1,1,1,1752,1,322,126,1
0,1,5,1,1,24,0,3,0,1,0,101123,270,0,4,2
0,1,1,1,1,10,2439,11,1,1,1,223759,270,0,23,2
0,1,0,1,0,7,274,7,1,1,1,40917,60,0,23,2
0,0,0,0,0,128,186,16,1,1,1,206107,60,0,21,2
0,0,0,1,0,85,0,17,1,1,1,188937,90,0,133,1
0,0,4,0,1,102,0,11,1,1,1,3100000,210,0,4664,2
0,0,1,1,0,6,0,10,1,0,1,5281,2,639,15,1
0,0,0,0,0,0,0,0,1,0,0,8737,15,32667,42,1
0,0,0,0,0,111,0,7,0,0,0,218791,210,0,90,2
0,0,0,0,0,6,0,13,1,1,1,186800,240,0,38,2
0,0,0,1,0,6,0,10,1,0,1,237300,23,0,27,2
0,0,0,0,0,5,109,8,1,1,1,134557,960,0,38,1
0,0,0,0,0,0,0,6,1,0,1,1716,450,4228,254,2
0,3,0,1,0,10,0,15,1,1,0,224307,90,0,280,2
1,1,1,0,0,17,27,6,1,1,1,268604,23,5964,157,2
0,0,0,0,0,0,0,14,1,0,0,997,10,137,22,1
0,0,0,0,0,0,0,19,1,0,1,103644,12,14498,27,1
0,0,0,0,0,0,0,5,1,0,1,469,9,1106,26,2
0,1,1,1,0,0,0,5,1,0,1,805915,2,105,17,1
0,1,1,0,0,0,0,0,1,0,0,2735,5,0,579,1
1,1,28,1,1,10,86,20,1,1,1,13452,12,2812,38,2
0,0,0,0,0,9,20,7,1,1,1,5945,10,2812,38,2
0,0,0,0,0,12,34,7,1,1,1,263884,13,5964,157,2
0,1,4,1,0,23,0,15,1,0,1,23300,19,1150,7,2
0,1,1,1,0,11,0,8,1,0,1,5315,8,492,34,2
0,0,1,0,0,0,0,0,1,0,0,31281,1,290,15,1
0,0,0,0,0,2,0,12,1,0,1,30000,1,22,0,2
0,0,0,0,0,0,0,1,1,0,0,6798,1,728,42,2
0,0,0,0,0,0,0,0,1,0,0,3600,1,3,0,2
0,1,1,1,0,531,0,0,1,0,0,321201,90,0,863,2
0,0,0,0,0,0,0,4,1,0,0,4053,23,925,25,2
0,0,0,0,0,0,0,1,1,0,0,17600,660,11154,16,2
0,0,1,0,0,838,0,15,1,1,1,1800000,60,0,472,2
0,0,0,0,0,124,0,8,1,0,0,25008,17,0,472,2
0,0,0,0,0,0,0,0,0,0,0,20687,120,2247,39,2
0,0,0,0,0,0,0,0,1,0,0,30353,1,406,319,2
1,0,0,0,0,0,0,18,1,0,0,5979,9,688,85,2
0,3,6,0,0,123,0,0,1,0,0,824756,90,0,280,1
0,1,0,0,0,0,0,3,1,0,1,463,6,1768,102,2
0,3,10,1,1,77,0,7,1,0,0,61971,1,1601,2,1
0,0,0,0,0,0,0,10,1,0,0,31400,3,169,22,2
0,0,0,0,0,0,0,7,1,0,1,5065,3,4228,254,2
1,0,15,0,0,0,0,0,1,0,0,115849,8,15385,83,2
0,0,0,0,0,14,0,0,1,0,0,533080,4,199,80,1
0,0,0,0,0,3,0,1,1,0,0,304,26,2833,99,2
0,0,0,0,0,0,0,0,1,0,0,956,5,175,16,1
0,1,0,1,0,21,0,7,1,0,0,327913,90,0,863,2
0,0,0,0,0,0,0,0,1,0,1,1230,7,80,17,2
0,0,0,0,0,0,0,0,1,0,0,32036,4,13502,11,1
0,0,0,0,0,4,0,8,1,0,1,14978,5,2616,71,2
